iter	Passed	Remaining
0	2	2868
1	6	3478
2	9	3064
3	13	3457
4	16	3205
5	23	3933
6	28	4019
7	30	3824
8	32	3575
9	34	3372
10	35	3232
11	39	3231
12	45	3476
13	53	3764
14	60	3999
15	63	3874
16	65	3767
17	67	3670
18	69	3573
19	71	3497
20	74	3474
21	76	3417
22	80	3424
23	85	3457
24	89	3484
25	92	3456
26	94	3407
27	96	3366
28	99	3326
29	105	3411
30	107	3356
31	108	3293
32	111	3258
33	113	3229
34	116	3211
35	122	3281
36	124	3243
37	126	3208
38	129	3179
39	131	3157
40	136	3193
41	138	3162
42	140	3132
43	142	3105
44	145	3084
45	147	3063
46	152	3092
47	154	3071
48	157	3052
49	160	3044
50	162	3017
51	165	3022
52	170	3040
53	172	3016
54	174	2999
55	181	3060
56	183	3037
57	185	3015
58	187	2997
59	190	2985
60	196	3027
61	198	3008
62	200	2986
63	202	2966
64	205	2954
65	211	2988
66	213	2974
67	215	2953
68	217	2934
69	219	2912
70	220	2889
71	225	2908
72	228	2895
73	230	2879
74	232	2862
75	234	2846
76	236	2832
77	242	2861
78	244	2849
79	246	2840
80	249	2834
81	252	2823
82	255	2827
83	258	2818
84	260	2807
85	263	2797
86	265	2785
87	267	2773
88	273	2799
89	275	2782
90	279	2792
91	282	2786
92	288	2811
93	290	2799
94	292	2787
95	294	2775
96	297	2765
97	303	2788
98	305	2778
99	307	2768
100	309	2757
101	312	2750
102	319	2779
103	324	2794
104	326	2784
105	329	2780
106	337	2819
107	341	2817
108	343	2806
109	345	2794
110	350	2806
111	353	2798
112	355	2790
113	358	2788
114	363	2799
115	373	2849
116	375	2835
117	381	2852
118	383	2842
119	385	2829
120	387	2817
121	389	2802
122	391	2793
123	396	2802
124	398	2792
125	400	2781
126	402	2768
127	405	2759
128	407	2750
129	413	2767
130	415	2755
131	417	2742
132	418	2729
133	420	2716
134	421	2703
135	423	2693
136	428	2701
137	430	2689
138	432	2678
139	434	2666
140	435	2655
141	437	2642
142	439	2634
143	441	2624
144	443	2613
145	444	2602
146	446	2590
147	447	2577
148	449	2566
149	450	2554
150	454	2557
151	456	2548
152	458	2539
153	462	2538
154	464	2530
155	466	2523
156	470	2528
157	472	2518
158	474	2507
159	475	2497
160	476	2483
161	478	2473
162	479	2463
163	481	2454
164	494	2502
165	497	2499
166	502	2505
167	504	2498
168	506	2489
169	508	2481
170	509	2471
171	511	2462
172	513	2453
173	517	2457
174	519	2450
175	521	2442
176	523	2433
177	524	2423
178	526	2414
179	527	2405
180	529	2395
181	531	2390
182	534	2385
183	536	2377
184	538	2371
185	547	2393
186	549	2387
187	551	2381
188	553	2374
189	555	2368
190	557	2360
191	562	2365
192	563	2357
193	567	2357
194	569	2351
195	571	2342
196	572	2334
197	576	2334
198	578	2330
199	581	2324
200	583	2319
201	585	2313
202	588	2308
203	592	2309
204	594	2304
205	598	2305
206	599	2297
207	601	2290
208	603	2282
209	604	2274
210	609	2278
211	610	2270
212	612	2263
213	614	2255
214	615	2247
215	617	2240
216	618	2232
217	620	2224
218	627	2238
219	629	2232
220	631	2227
221	634	2222
222	636	2217
223	638	2213
224	640	2207
225	642	2200
226	644	2193
227	645	2186
228	647	2179
229	657	2202
230	661	2200
231	663	2195
232	665	2190
233	669	2192
234	671	2185
235	673	2180
236	676	2177
237	677	2170
238	679	2163
239	685	2170
240	686	2163
241	688	2157
242	690	2150
243	691	2143
244	693	2136
245	698	2140
246	700	2136
247	702	2131
248	704	2124
249	705	2117
250	708	2112
251	712	2116
252	715	2111
253	717	2107
254	719	2102
255	721	2097
256	723	2092
257	728	2095
258	731	2092
259	733	2088
260	735	2082
261	737	2077
262	739	2073
263	745	2078
264	747	2073
265	749	2068
266	751	2063
267	753	2058
268	756	2054
269	766	2072
270	768	2068
271	770	2063
272	774	2063
273	777	2060
274	779	2056
275	782	2051
276	784	2047
277	786	2042
278	791	2044
279	793	2040
280	796	2037
281	799	2035
282	801	2030
283	802	2024
284	807	2025
285	809	2020
286	811	2015
287	813	2010
288	815	2006
289	817	2002
290	824	2007
291	834	2022
292	841	2029
293	842	2024
294	844	2019
295	846	2013
296	848	2008
297	850	2002
298	854	2002
299	856	1998
300	858	1993
301	861	1991
302	863	1987
303	866	1982
304	870	1983
305	872	1978
306	874	1973
307	875	1968
308	877	1962
309	879	1958
310	883	1957
311	886	1954
312	888	1951
313	890	1946
314	892	1941
315	894	1936
316	896	1930
317	900	1931
318	902	1926
319	904	1922
320	906	1917
321	908	1913
322	911	1909
323	915	1909
324	917	1905
325	919	1900
326	920	1895
327	922	1890
328	925	1886
329	936	1901
330	939	1898
331	942	1896
332	946	1896
333	948	1892
334	950	1887
335	955	1887
336	958	1885
337	961	1882
338	964	1879
339	970	1883
340	982	1897
341	987	1900
342	990	1896
343	991	1891
344	993	1886
345	995	1882
346	997	1878
347	999	1873
348	1004	1874
349	1006	1869
350	1008	1865
351	1010	1860
352	1012	1855
353	1013	1850
354	1017	1849
355	1020	1845
356	1022	1840
357	1024	1836
358	1026	1833
359	1029	1829
360	1034	1830
361	1036	1826
362	1040	1825
363	1042	1821
364	1044	1817
365	1049	1818
366	1051	1813
367	1053	1808
368	1055	1804
369	1056	1799
370	1058	1794
371	1059	1789
372	1065	1791
373	1067	1786
374	1069	1782
375	1071	1778
376	1073	1774
377	1075	1769
378	1082	1772
379	1084	1769
380	1086	1765
381	1088	1760
382	1089	1755
383	1091	1751
384	1097	1752
385	1099	1748
386	1101	1744
387	1103	1739
388	1104	1735
389	1106	1731
390	1112	1732
391	1113	1727
392	1115	1723
393	1117	1719
394	1119	1715
395	1121	1711
396	1127	1712
397	1129	1708
398	1132	1705
399	1135	1703
400	1137	1699
401	1144	1703
402	1147	1699
403	1149	1696
404	1151	1692
405	1153	1688
406	1159	1688
407	1160	1684
408	1162	1679
409	1163	1674
410	1165	1670
411	1167	1666
412	1169	1662
413	1174	1661
414	1175	1657
415	1177	1653
416	1179	1649
417	1181	1644
418	1182	1640
419	1184	1635
420	1188	1634
421	1191	1632
422	1193	1628
423	1195	1623
424	1197	1619
425	1199	1616
426	1201	1612
427	1205	1611
428	1207	1607
429	1209	1603
430	1210	1598
431	1212	1594
432	1214	1590
433	1215	1585
434	1220	1584
435	1222	1581
436	1236	1593
437	1239	1590
438	1240	1585
439	1242	1581
440	1244	1577
441	1246	1573
442	1248	1569
443	1253	1569
444	1255	1565
445	1257	1562
446	1259	1558
447	1261	1554
448	1264	1551
449	1269	1551
450	1271	1547
451	1273	1544
452	1275	1540
453	1278	1537
454	1284	1538
455	1287	1535
456	1289	1531
457	1291	1528
458	1293	1524
459	1295	1520
460	1300	1520
461	1302	1516
462	1303	1512
463	1305	1508
464	1307	1504
465	1309	1500
466	1314	1500
467	1316	1496
468	1319	1493
469	1321	1490
470	1323	1486
471	1326	1483
472	1330	1482
473	1339	1486
474	1341	1482
475	1345	1481
476	1348	1478
477	1350	1474
478	1352	1471
479	1354	1467
480	1356	1463
481	1361	1462
482	1363	1459
483	1365	1455
484	1366	1451
485	1369	1447
486	1371	1444
487	1377	1445
488	1380	1442
489	1382	1438
490	1384	1434
491	1385	1430
492	1387	1426
493	1391	1425
494	1394	1423
495	1397	1420
496	1399	1416
497	1401	1413
498	1403	1409
499	1408	1408
500	1410	1405
501	1412	1401
502	1414	1397
503	1416	1394
504	1418	1390
505	1419	1386
506	1424	1385
507	1426	1381
508	1429	1378
509	1431	1375
510	1433	1372
511	1439	1372
512	1441	1368
513	1443	1365
514	1452	1367
515	1455	1364
516	1457	1361
517	1459	1357
518	1460	1353
519	1463	1350
520	1464	1346
521	1469	1345
522	1472	1342
523	1474	1339
524	1475	1335
525	1477	1331
526	1480	1328
527	1487	1329
528	1489	1326
529	1492	1323
530	1494	1319
531	1495	1316
532	1500	1314
533	1503	1311
534	1505	1308
535	1507	1305
536	1509	1301
537	1511	1298
538	1516	1296
539	1519	1294
540	1523	1292
541	1526	1289
542	1531	1288
543	1534	1285
544	1536	1282
545	1540	1280
546	1542	1277
547	1546	1275
548	1548	1272
549	1550	1268
550	1552	1264
551	1553	1261
552	1555	1257
553	1557	1254
554	1563	1253
555	1565	1250
556	1567	1246
557	1569	1243
558	1570	1239
559	1572	1235
560	1578	1235
561	1581	1232
562	1583	1228
563	1586	1226
564	1588	1222
565	1590	1219
566	1593	1216
567	1595	1213
568	1597	1210
569	1599	1206
570	1602	1204
571	1608	1203
572	1611	1200
573	1614	1198
574	1616	1194
575	1618	1191
576	1624	1190
577	1626	1187
578	1629	1184
579	1632	1181
580	1633	1178
581	1639	1177
582	1641	1173
583	1642	1170
584	1644	1166
585	1646	1162
586	1647	1159
587	1649	1155
588	1655	1154
589	1657	1151
590	1658	1148
591	1660	1144
592	1662	1140
593	1664	1137
594	1668	1135
595	1671	1132
596	1674	1130
597	1675	1126
598	1677	1123
599	1679	1119
600	1680	1115
601	1686	1115
602	1689	1112
603	1692	1109
604	1694	1106
605	1696	1103
606	1701	1101
607	1703	1098
608	1705	1095
609	1707	1091
610	1709	1088
611	1712	1085
612	1717	1084
613	1719	1080
614	1721	1077
615	1723	1074
616	1725	1070
617	1726	1067
618	1732	1066
619	1734	1062
620	1736	1059
621	1740	1057
622	1742	1054
623	1747	1052
624	1749	1049
625	1751	1046
626	1756	1044
627	1757	1041
628	1763	1040
629	1766	1037
630	1768	1034
631	1770	1030
632	1772	1027
633	1777	1026
634	1780	1023
635	1782	1020
636	1784	1016
637	1786	1013
638	1787	1009
639	1789	1006
640	1793	1004
641	1796	1001
642	1799	998
643	1801	995
644	1808	995
645	1810	991
646	1811	988
647	1813	985
648	1815	982
649	1818	978
650	1823	977
651	1825	974
652	1831	973
653	1833	970
654	1841	970
655	1843	966
656	1845	963
657	1847	960
658	1852	958
659	1854	955
660	1857	952
661	1859	949
662	1860	945
663	1870	946
664	1872	943
665	1875	940
666	1877	937
667	1879	934
668	1884	932
669	1887	929
670	1890	926
671	1892	923
672	1894	920
673	1896	917
674	1899	914
675	1901	911
676	1908	910
677	1913	908
678	1915	905
679	1918	902
680	1921	900
681	1923	896
682	1928	895
683	1930	891
684	1932	888
685	1934	885
686	1935	881
687	1937	878
688	1939	875
689	1951	876
690	1954	873
691	1960	872
692	1962	869
693	1964	865
